,0,1,2,3,4,5,6,7,8,9,10,11,12,label
41,-377.71234,53.091396,-14.700102,23.171307,-20.9017,2.3046353,-10.549824,-3.9327004,-6.3423347,-6.6619954,-10.89156,-4.882715,1.7966994,1
42,-320.10837,74.55309,-46.7841,16.078758,-19.649172,-10.233282,-5.386311,-11.681235,-2.9527893,-5.085298,-10.788556,-3.79325,-0.38649043,1
43,-349.0451,61.334747,-26.886658,11.421828,-26.907534,3.7460816,-4.472649,-5.272502,-5.025632,0.17573653,-8.863846,-5.016969,0.2502839,1
44,-339.31662,72.35897,-28.486736,37.787186,-20.014565,-1.8923656,-14.443051,-6.527005,-9.375533,-8.868345,-17.17268,-8.415721,0.10173244,1
45,-346.5056,77.81131,-37.030067,40.879826,-18.008118,-4.6656957,-0.9031632,-8.9937935,-5.704362,-6.779845,-11.017326,-5.524425,-3.0126262,1
46,-377.23605,78.17098,-26.156055,19.534676,-13.903766,-9.410839,-6.5278454,-11.224407,-5.1056356,-3.5847697,-9.831775,-4.5858674,-4.7655673,1
47,-371.5438,70.368,-16.84187,10.851734,-11.76842,-1.7423657,-9.615975,-10.133522,-4.3724794,-3.275079,-9.138372,-4.647198,-3.0386322,1
48,-348.227,79.39724,-44.19033,27.427462,-22.297234,-7.9361115,-9.502806,-9.59524,-3.0229528,-7.2318735,-14.497657,-4.2098017,-1.2817299,1
49,-352.37665,70.29022,-27.250837,27.459099,-18.106144,-4.573607,-10.941615,-8.52322,-6.287676,-6.6842523,-17.2452,-8.559047,-0.35132462,1
50,-336.0053,62.49003,-23.736452,43.327976,-18.416412,-2.2488768,-13.866574,-2.220757,-11.93205,-14.972386,-15.401409,-8.763943,-2.7584474,1
51,-322.7332,77.08835,-45.52376,12.51307,-23.699497,-6.684787,0.18714543,-9.41915,-6.8308353,-4.2118635,-8.050219,-6.3012037,-3.2439032,1
52,-312.7066,75.51003,-41.84655,36.019203,-24.844093,-7.0693336,-5.2190595,-10.6163845,-7.844787,-4.6653023,-12.549324,-5.527602,-0.6918546,1
53,-367.39722,63.05367,-29.97583,13.18266,-12.877069,0.4409247,-8.12812,-6.0513043,-4.040279,-5.7938375,-12.073807,-5.1588755,0.89842516,1
54,-335.91647,65.01622,-26.861088,19.527367,-25.75292,-6.0193133,-8.62279,-9.143461,-6.7637057,-6.5939164,-11.6846695,-4.4126654,1.8267453,1
55,-330.3813,62.832108,-24.853386,32.129986,-20.59423,-2.1124208,-6.2154846,-10.551795,-8.503117,-9.1930685,-11.840818,-4.987233,-3.533129,1
56,-334.97833,76.1861,-25.080004,25.00736,-23.071701,3.505823,-9.566661,-10.310669,-11.519866,-5.344431,-12.496538,-10.1866455,-1.8495117,1
57,-333.5678,72.13939,-34.57272,39.543438,-20.586306,-6.2767835,-4.2699275,-10.547919,-8.211568,-11.478322,-16.414991,-1.7520944,-1.7909304,1
58,-362.86734,72.325806,-32.563065,17.33995,-18.761824,0.08938668,-10.705625,-10.084756,-5.5432515,-4.7219644,-9.526804,-7.794704,-3.4500825,1
59,-325.0718,66.456924,-41.19422,24.320015,-27.998253,-4.547168,-7.2383194,-12.938628,-7.2242203,-3.4291317,-13.109751,-8.78484,0.83026296,1
60,-380.5483,68.95099,-18.723883,18.088327,-10.2841215,-2.3485281,1.1391498,-8.526082,-3.1052456,-5.4775524,-6.9351106,-2.6244702,-2.0158985,1
61,-390.6345,62.10547,-23.724787,28.189024,-18.261646,-3.0493815,-5.06774,-10.8360615,-6.5699067,-6.385952,-11.1886635,-6.131318,-2.987479,1
62,-341.49353,73.44135,-36.273632,27.545717,-23.68347,2.0112572,-9.180087,-7.6208444,-4.9545426,-6.600988,-12.409142,-5.9571524,1.8905381,1
63,-365.57785,89.33437,-29.113503,23.352892,-12.525075,-7.558402,-5.211318,-13.189048,-8.698743,-8.878518,-14.070588,-7.7546554,-5.96251,1
64,-344.9967,69.5104,-41.410397,23.531574,-20.957157,-3.2954612,-5.4079747,-7.3648257,-5.5001497,-5.220685,-12.36202,-6.6235566,-1.0809641,1
65,-349.08517,79.89849,-29.61826,18.36906,-23.58466,2.2420614,-9.624537,-9.439277,-7.491661,-6.26221,-10.042114,-6.3677197,-1.1571592,1
66,-369.51602,68.01097,-19.85371,24.522667,-20.600275,1.212734,-11.292444,-5.7772136,-7.7734056,-6.137162,-11.848449,-4.9011893,2.3992233,1
67,-364.59167,83.843,-36.001503,33.696003,-25.405334,-5.9636755,-7.5563188,-9.555998,-8.552271,-9.315597,-14.467468,-8.829859,-3.763464,1
68,-314.0518,78.81337,-37.653877,26.664701,-30.604969,-10.408039,-6.841103,-10.197604,-8.6088705,-8.8373165,-10.9657545,-3.359877,-1.6872591,1
69,-302.6486,65.66417,-39.887177,35.00259,-32.58118,-1.0473944,-15.749108,-9.377835,-9.005049,-7.819328,-11.054778,-6.3952155,0.56489533,1
70,-334.27887,91.60772,-44.842525,32.008385,-18.996452,-8.489133,-10.751559,-18.384922,-6.752944,-10.774721,-15.842709,-3.4346528,-6.1528735,1
71,-358.92838,57.981773,-29.370005,19.502337,-18.472818,-2.7274842,-10.062121,-7.882736,-3.547546,-4.8130136,-10.654339,-5.981013,0.75168055,1
72,-355.93423,80.58353,-21.8155,23.356432,-17.332159,-9.447499,-4.337292,-11.717417,-8.3916445,-10.107285,-15.058394,-6.7966113,-3.8944914,1
